Activation,Training Time (s),Final Train Loss,Final Val Loss,Final Train MAE,Final Val MAE,Test Loss,Test MAE
ReLU,3.1796834468841553,0.12793029844760895,0.17787566781044006,0.28241729736328125,0.32530713081359863,0.19254815578460693,0.32685497403144836
Mish,2.9151947498321533,0.08075962215662003,0.17199161648750305,0.22341981530189514,0.3139922022819519,0.10897228121757507,0.24511083960533142
Swish,3.0425732135772705,0.07929371297359467,0.15409071743488312,0.21675896644592285,0.26762086153030396,0.10682571679353714,0.26057636737823486
Custom,3.0104775428771973,0.3689846396446228,0.5607007145881653,0.47544312477111816,0.5521882772445679,0.5569305419921875,0.5755570530891418
